Date,Close
2/1/2018,7648.100098
3/1/2018,7671.100098
4/1/2018,7695.899902
5/1/2018,7724.200195
8/1/2018,7696.5
9/1/2018,7731
10/1/2018,7748.5
11/1/2018,7762.899902
12/1/2018,7778.600098
15/1/2018,7769.100098
16/1/2018,7755.899902
17/1/2018,7725.399902
18/1/2018,7701
19/1/2018,7730.799805
22/1/2018,7715.399902
23/1/2018,7731.799805
24/1/2018,7643.399902
25/1/2018,7615.799805
26/1/2018,7665.5
29/1/2018,7671.5
30/1/2018,7588
31/1/2018,7533.600098
1/2/2018,7490.399902
2/2/2018,7443.399902
5/2/2018,7335
6/2/2018,7141.399902
7/2/2018,7279.399902
8/2/2018,7170.700195
9/2/2018,7092.399902
12/2/2018,7177.100098
13/2/2018,7168
14/2/2018,7214
15/2/2018,7234.799805
16/2/2018,7294.700195
19/2/2018,7247.700195
20/2/2018,7246.799805
21/2/2018,7281.600098
22/2/2018,7252.399902
23/2/2018,7244.399902
26/2/2018,7289.600098
27/2/2018,7282.5
28/2/2018,7231.899902
1/3/2018,7175.600098
2/3/2018,7069.899902
5/3/2018,7116
6/3/2018,7146.799805
7/3/2018,7157.799805
8/3/2018,7203.200195
9/3/2018,7224.5
12/3/2018,7214.799805
13/3/2018,7138.799805
14/3/2018,7132.700195
15/3/2018,7139.799805
16/3/2018,7164.100098
19/3/2018,7042.899902
20/3/2018,7061.299805
21/3/2018,7039
22/3/2018,6952.600098
23/3/2018,6921.899902
26/3/2018,6888.700195
27/3/2018,7000.100098
28/3/2018,7044.700195
29/3/2018,7056.600098
3/4/2018,7030.5
4/4/2018,7034
5/4/2018,7199.5
6/4/2018,7183.600098
9/4/2018,7194.799805
10/4/2018,7266.799805
11/4/2018,7257.100098
12/4/2018,7258.299805
13/4/2018,7264.600098
16/4/2018,7198.200195
17/4/2018,7226.100098
18/4/2018,7317.299805
19/4/2018,7328.899902
20/4/2018,7368.200195
23/4/2018,7398.899902
24/4/2018,7425.399902
25/4/2018,7379.299805
26/4/2018,7421.399902
27/4/2018,7502.200195
30/4/2018,7509.299805
1/5/2018,7520.399902
2/5/2018,7543.200195
3/5/2018,7502.700195
4/5/2018,7567.100098
8/5/2018,7565.799805
9/5/2018,7662.5
10/5/2018,7701
11/5/2018,7724.600098
14/5/2018,7711
15/5/2018,7723
16/5/2018,7734.200195
17/5/2018,7788
18/5/2018,7778.799805
21/5/2018,7859.200195
22/5/2018,7877.5
23/5/2018,7788.399902
24/5/2018,7716.700195
25/5/2018,7730.299805
29/5/2018,7632.600098
30/5/2018,7689.600098
31/5/2018,7678.200195
1/6/2018,7701.799805
4/6/2018,7741.299805
5/6/2018,7686.799805
6/6/2018,7712.399902
7/6/2018,7704.399902
8/6/2018,7681.100098
11/6/2018,7737.399902
12/6/2018,7703.799805
13/6/2018,7703.700195
14/6/2018,7765.799805
15/6/2018,7633.899902
18/6/2018,7631.299805
19/6/2018,7603.899902
20/6/2018,7627.399902
21/6/2018,7556.399902
22/6/2018,7682.299805
25/6/2018,7509.799805
26/6/2018,7537.899902
27/6/2018,7621.700195
28/6/2018,7615.600098
29/6/2018,7636.899902
2/7/2018,7547.899902
3/7/2018,7593.299805
4/7/2018,7573.100098
5/7/2018,7603.200195
6/7/2018,7617.700195
9/7/2018,7688
10/7/2018,7692
11/7/2018,7592
12/7/2018,7651.299805
13/7/2018,7661.899902
16/7/2018,7600.5
17/7/2018,7626.299805
18/7/2018,7676.299805
19/7/2018,7684
20/7/2018,7678.799805
23/7/2018,7655.799805
24/7/2018,7709.100098
25/7/2018,7658.299805
26/7/2018,7663.200195
27/7/2018,7701.299805
30/7/2018,7700.899902
31/7/2018,7748.799805
1/8/2018,7652.899902
2/8/2018,7575.899902
3/8/2018,7659.100098
